num,time
3000000,0.444323
6000000,0.882382
9000000,1.3178
12000000,1.75581
15000000,2.18875
18000000,2.63782
21000000,3.06539
24000000,3.50074
27000000,3.99351
3000000,4.47325
3000000,5.81288
3000000,6.01612
3000000,0.443491
3000000,5.90454
3000000,5.91347
3000000,5.93236
3000000,5.8275
3000000,0.442527
24728198,1.74348
