X,Y
10,0.00478572
12,0.00667329
14,0.0114573
16,0.0319409
18,0.171062
20,0.908614
22,0.982181
24,0.982599
10,0.00483755
12,0.0068051
14,0.011782
16,0.0335123
18,0.175125
20,0.921768
22,0.981963
24,0.982599
10,0.0048833
12,0.00689559
14,0.0120222
16,0.0344425
18,0.172934
20,0.917484
22,0.982248
24,0.982643
100,0.286944
100,0.286944
100,0.100379
100,0.998506
