X,Y
10,0.626818
12,0.740344
14,0.870014
16,0.971479
18,0.997105
20,0.999909
22,0.999909
24,0.999909
10,0.626818
12,0.740344
14,0.870014
16,0.971479
18,0.997105
20,0.999909
22,0.999909
24,0.999909
10,0.626818
12,0.740344
14,0.870014
16,0.971479
18,0.997105
20,0.999909
22,0.999909
24,0.999909
100,1
100,1
100,0.99667
100,1
