X,Y
10,0.569854
12,0.671731
14,0.805724
16,0.931331
18,0.987342
20,0.990269
22,0.990269
24,0.990269
10,0.577363
12,0.679941
14,0.813511
16,0.936918
18,0.98774
20,0.990223
22,0.990269
24,0.990269
10,0.576563
12,0.682345
14,0.818046
16,0.938569
18,0.987929
20,0.990223
22,0.990269
24,0.990269
100,0.989361
100,0.989361
100,0.98726
100,1
