X,Y
10,0.394901
12,0.560127
14,0.765945
16,0.935714
18,0.984719
20,0.990041
22,0.990223
24,0.990269
10,0.401145
12,0.563907
14,0.773136
16,0.940265
18,0.984413
20,0.99004
22,0.990223
24,0.990269
10,0.409829
12,0.567519
14,0.770259
16,0.937847
18,0.983332
20,0.990019
22,0.990269
24,0.990269
100,0.986623
100,0.986623
100,0.974785
100,1
