num,F1
3000000,1
6000000,1
9000000,1
12000000,0.999977
15000000,0.999941
18000000,0.999948
21000000,0.999954
24000000,0.999959
27000000,0.999953
3000000,1
3000000,1
6000000,1
3000000,1
3000000,1
3000000,1
3000000,1
3000000,1
3000000,1
3000000,1
3000000,1
3000000,1
3000000,1
3000000,1
3000000,1
24728198,0.989364
