X,Break_Sketch_straw,Break_Sketch_basic,Break_Sketch_improved,Break_Sketch_Optimization_1,Break_Sketch_Optimization_2
0,1,0.00271217,1,1,1
1,1,0.600741,1,1,1
2,1,0.987259,1,1,1
3,1,1,1,1,1
