X,Break_Sketch_straw,Break_Sketch_basic,Break_Sketch_improved,Break_Sketch_Optimization_1,Break_Sketch_Optimization_2
0,0.389595,1,0.455221,0.391512,0.391886
1,0.999252,0.999953,0.994952,0.939142,0.939749
2,0.999626,0.999673,0.999626,0.999626,0.999626
3,0.999626,0.999626,0.999626,0.999626,0.999626
