X,Break_Sketch_straw,Break_Sketch_basic,Break_Sketch_improved,Break_Sketch_Optimization_1,Break_Sketch_Optimization_2
0,0.999394,0.634915,0.999459,0.999396,0.999396
1,0.999999,0.99934,0.999995,0.99994,0.99994
2,1,0.999987,1,1,1
3,1,1,1,1,1
